Region	Country
Alexandria Region|Memphite Region	Egypt
Amhara region	Ethiopia
Anatolia	
Aquitaine	France
Bactria	
Bactria-Margiana	
Bengal	India
Borneo	Indonesia
Botel Tobago Island	Taiwan
Bougainville or Nissan Island	Papua New Guinea
Caribbean	Dominican Republic (?)
Caroline Islands	Federated States of Micronesia
Caroline Islands	Republic of Palau
Caucasus region	
Central Anatolia	
Central Asia	Sothern Turkmenistan
Central Iran	
Churunga Valley	Peru
Deccan	India
Delta	Egypt
Eastern Delta	Egypt
Egypt	
Fayum Entrance Area	Egypt
Flores Island	Indonesia
Gambier Islands	Mangareva
Goa	India
Grassfields region	Cameroon
Great Plains	United States
Ha'apai Islands	Tonga
Highlands region	Ethiopia
Indus Valley	
Iran	
Iran or Mesopotamia	
Iran, probably from Luristan	
Khurasan or Herat	Iran or Afghanistan
Levant	
Mabuiag Island	Australia
Memphite Region	Egypt
Menabe region	Madagascar
Mesoamerica	Guatemala
Mesoamerica	Guatemala or Mexico
Mesoamerica	Mexico
Mesopotamia	
Mesopotamia or Iran	
Mesopotamia or Syria	
Middle Egypt	Egypt
Mokumanamana (Necker) Island, Marae 12	United States
New Britain	Papua New Guinea
New Georgia Island possibly	Solomon Islands
New Ireland	Papua New Guinea
North Coast	Peru
Northern Black Sea region	
Northern Mesopotamia	
Northern Upper Egypt	Egypt
Northwestern Iran	
Northwestern Iran, Caspian region	
Nubia	Egypt
Nubia	Egypt and Sudan
Papuan Gulf	Papua New Guinea
Persian Gulf region or southern Iran	
Plains States	United States
Possibly New Georgia or Guadalcanal Island	Solomon Islands
Prince Alexander Mountains	Papua New Guinea
Rapa Nui (Easter Island)	Chile
Society Islands	Tahiti
Southern Europe	Italy
Southern Mesopotamia	
Southern Upper Egypt	Egypt
Southern Upper Egypt|Middle Egypt	Egypt
Southwest Malakula	Vanuatu
Southwestern Arabia	
Southwestern Iran	
Sumatra	Indonesia
Syria	
Syria-Levant	
Thrace	
Transcaucasia	
Upper Egypt, Thebes	Egypt
Upper Egypt, Thebes or Northern Upper Egypt	Egypt
Urartu	
Yorubaland	Nigeria
central C么te d'Ivoire	C么te d'Ivoire
northern C么te d'Ivoire	C么te d'Ivoire
southern cliff	Mali
	Angola
	Angola or Democratic Republic of the Congo
	Austria
	Belgium
	Bolivia or Peru
	Brazil
	Burkina Faso
	Canada
	Central Italy
	Chile or Peru
	China
	China or Korea
	Colombia
	Colombia or Ecuador
	Costa Rica
	Democratic Republic of the Congo
	Eastern Iran or present-day Afghanistan
	Ecuador
	Egypt
	England
	France
	France|France
	Gabon
	Gabon or Equatorial Guinea
	Gabon or Republic of Congo
	Germany
	Germany (?)
	Ghana
	Guatemala
	Guatemala or Mexico
	India
	Indonesia
	Iran
	Iran (Persia)
	Iran or Central Asia
	Iran or Iraq
	Iran|Iran
	Iraq
	Iraq or Northern Jazira
	Italy
	Italy|France
	Italy|Italy
	Japan
	Korea
	Liberia
	Lower Austria
	Mali
	Mexico
	Mozambique
	Myanmar (formerly Burma)
	Netherlands
	New Zealand
	Nigeria
	Northern India
	Northern India or Pakistan
	Northwestern Iran, probably
	Norway
	Panama
	Papua New Guinea
	Peru
	Philippines
	Portugal
	Republic of the Congo or Cabinda, Angola
	Senegal
	Sierra Leone
	South Netherlands
	Southern Italy
	Southern Russia or Black Sea Region (?)
	Spain
	Switzerland
	Syria
	Syria, Yemen, or North Africa
	Thailand
	The Netherlands
	Tibet
	Tunisia
	Turkey
	Uganda
	United Kingdom
	United States
	United States|India
	United States|United States
	West Central Turkey
	Yemen
	present-day Afghanistan
	present-day France
	present-day Pakistan
	probably Egypt
	probably Iraq or Syria
	probably Syria
